ababa	a<r>bab<vr>a<va>
ababebandlululwa	a<r>ba<i2>be<past>bandlulul<vr>w<xp>a<va>
ababebuye	a<r>ba<i2>be<past>buye<mr>
ababejayiva	a<r>b<i2>a<asp>be<p2>jayiv<vr>a<va>
ababeke	a<r>ba<i2>bek<vr>e<vps>
ababekhona	a<r>ba<i2>be<past>kho<adv>na<st>
ababekwenza	a<r>b<i2>a<asp>be<p2>kw<o15>enz<p1_vr>a<va>
ababemazi	a<r>ba<i2>be<past>m<o1>azi<vr>
ababemukela	a<r>ba<i2>b<o2>emukel<vr>a<va>
ababengadeli	a<r>ba<i2>be<past>nga<neg>del<vr>i<vg>
ababengase	a<r>ba<i2>be<past>nga<asp>se<mr>
ababengazi	a<r>ba<i2>be<past>ng<neg>az<vr>i<vg>
ababengekho	a<r>ba<i2>be<past>nge<neg>kho<adv>
ababenomkhuba	a<r>b<i2>a<asp>be<p2>n<p>o<iv>m<n3>khuba<nr>
ababesendlini	a<r>ba<i2>be<past>se<locpf>n<n9>dl<nr>ini<locsf>
ababesonta	a<r>ba<i2>be<past>sont<vr>a<va>
ababethuthelekela	a<r>ba<i2>be<past>thuthel<vr>ek<xn>el<xa>a<va>
ababewusebenzisa	a<r>ba<i2>be<past>wu<o3>sebenz<vr>is<xc>a<va>
ababezokudla	a<r>ba<i2>be<past>zo<fut>ku<n15>dl<vr>a<va>
ababhuza	a<r>b<i2>a<asp>bhuz<vr>a<va>, a<r>ba<i2>bhuz<vr>a<va>
ababili	a<r>ba<n2>bili<ar>
ababona	a<i6>ba<o2>bon<vr>a<va>, a<r>ba<i2>bon<vr>a<va>
ababonanga	a<neg>ba<g2>bon<vr>anga<vpg>
ababone	a<i6>ba<o2>bon<vr>e<vps>
ababuleweyo	a<r>ba<i2>bule<vr>w<xp>e<vps>yo<rsf>
ababuya	a<r>ba<i2>buy<vr>a<va>
abacabanga	a<r>ba<i2>cabang<vr>a<va>
abadala	a<r>ba<n2>dala<ar>
abadlali	a<iv>ba<n2>dlal<vr>i<hum>, a<neg>ba<g2>dlal<vr>i<vg>
abadonse	a<r>ba<i2>dons<vr>e<vps>
abadukisa	a<r>b<i2>a<asp>duk<vr>is<xc>a<va>, a<r>ba<i2>duk<vr>is<xc>a<va>
abafana	a<iv>ba<n2>fana<nr>
abafika	a<r>ba<i2>fik<vr>a<va>
abafo	a<iv>ba<n2>fo<nr>
abafowethu	a<iv>ba<n2>fo<nr>w<z1>ethu<pr1p>
abafuna	a<r>b<i2>a<asp>fun<vr>a<va>, a<r>ba<i2>fun<vr>a<va>
abafunde	a<r>ba<s2>fund<vr>e<vs>, a<s1>ba<o2>fund<vr>e<vs>
abafundi	a<iv>ba<n2>fund<vr>i<hum>, a<neg>ba<g2>fund<vr>i<vg>
abafundisi	a<iv>ba<n2>fund<vr>is<xc>i<hum>, a<neg>ba<g2>fund<vr>is<xc>i<vg>
abafuthe	a<r>ba<i2>futh<vr>e<vps>
abagulayo	a<r>ba<i2>gul<vr>a<va>yo<rsf>
abagwaza	a<r>ba<i2>gwaz<vr>a<va>
abahambi	a<iv>ba<n2>hamb<vr>i<hum>, a<neg>ba<g2>hamb<vr>i<vg>
abahle	a<r>ba<n2>hle<ar>
abahlinzayo	a<r>ba<i2>hlinz<vr>a<va>yo<rsf>
abahlobo	a<iv>ba<n2>hlobo<nr>
abahlonipha	a<r>ba<i2>hloniph<vr>a<va>
abahwathuzisa	a<r>ba<i2>hwathuz<vr>is<xc>a<va>
abakabuthwa	a<neg>ba<g2>ka<asp>buth<vr>w<xp>a<va>
abakade	a<r>ba<i2>kade<mr>
abakatholakali	a<neg>ba<g2>ka<asp>thol<vr>akal<xn>i<vg>
abake	a<r>ba<i2>ke<mr>
abakhohlisanayo	a<r>ba<i2>khohl<vr>is<xc>an<xr>a<va>yo<rsf>
abakhohlwa	a<iv>ba<n2>khohl<vr>w<xp>a<va>
abakholwa	a<r>ba<i2>khol<vr>w<xp>a<va>
abakhombise	a<r>b<i2>akhomb<vr>is<xc>e<vps>, a<r>ba<s2>khomb<vr>is<xc>e<vs>
abakhulu	a<r>ba<n2>khulu<ar>
abakhwenyana	a<iv>ba<n2>khwenyana<nr>
abakubo	a<r>ba<z2>ku<locpf>bo<pr2>
abakuboni	a<neg>ba<g2>ku<o15>bon<vr>i<vg>
abakufisayo	a<r>b<i2>a<asp>ku<o15>fis<vr>a<va>yo<rsf>, a<r>ba<i2>ku<o15>fis<vr>a<va>yo<rsf>
abakufuni	a<neg>ba<g2>ku<o2s>fun<vr>i<vg>
abakwahulumeni	a<r>ba<z2>kwa<p>hulumeni<nr>
abakwamidiyani	a<r>ba<z2>kwa<p>midiyani<nr>
abakwanxumalo	a<r>ba<z2>kwa<p>nxumalo<nr>
abakwenziwe	a<r>ba<s2>kw<o15>enz<vr>iw<xp>e<vs>
abalamu	a<iv>ba<n2>lamu<nr>
abalapha	a<r>ba<z2>lapha<adv>
abalinde	a<r>ba<i2>lind<vr>e<vps>
abalisa	a<iv>ba<n2>lisa<nr>
abamazi	a<neg>ba<g2>m<o1>azi<vr>
abamlindile	a<r>ba<i2>m<o1>lind<vr>ile<vpl>
abancane	a<r>ba<n2>ncane<ar>
abandayo	a<r>band<vr>a<va>yo<rsf>
abangaboni	a<s6>ba<o2>nga<neg>bon<vr>i<vg>
abangakaze	a<r>ba<i2>nga<neg>kaze<mr>
abangakhulelwe	a<r>ba<i2>nga<neg>khul<vr>el<xa>w<xp>e<vps>
abangalali	a<r>ba<i2>nga<neg>lal<vr>i<vg>
abanganqoba	a<r>ba<i2>nga<neg>nqob<vr>a<va>
abangase	a<r>ba<i2>nga<asp>se<mr>
abangathanda	a<neg>ba<i2>nga<asp>thand<vr>a<va>
abangayazi	a<r>ba<i2>nga<neg>y<o9>azi<vr>
abangazange	a<r>ba<i2>nga<neg>zange<mr>
abangazazi	a<r>ba<s2>nga<neg>zaz<vr>i<vg>
abangaziwa	a<r>ba<i2>ng<neg>az<p1_vr>iw<xp>a<va>
abangenamandla	a<r>ba<i2>nge<neg>na<p>ma<n6>ndla<nr>
abangene	a<r>ba<i2>ngen<vr>e<vps>
abaningi	a<r>ba<n2>ningi<ar>
abantababantu	a<iv>ba<n2>nta<nr>b<z2>a<iv>ba<n2>ntu<nr>
abantu	a<iv>ba<n2>ntu<nr>
abantwana	a<iv>ba<n2>ntwana<nr>
abanye	a<r>ba<n2>nye<ar>
abaphambili	a<r>ba<i2>phambili<adv>
abaphansi	a<r>ba<z2>phansi<adv>
abaphathe	a<r>ba<i2>phath<vr>e<vps>
abaphatheka	a<r>ba<i2>phath<vr>ek<xn>a<va>
abaphe	a<r>ba<i2>ph<vr>e<vps>
abaphilayo	a<r>ba<i2>phil<vr>a<va>yo<rsf>
abaphose	a<r>ba<s2>phos<vr>e<vs>
abaqaphi	a<iv>ba<n2>qaph<vr>i<hum>
abaqondene	a<r>ba<i2>qond<vr>en<xr>e<vps>
abaqonywa	a<r>ba<i2>qony<vr>w<xp>a<va>
abarimi	a<iv>ba<n2>rim<vr>i<hum>, a<iv>ba<n2>rimi<nr>
abasahleki	a<neg>ba<g2>sa<asp>hlek<vr>i<vg>
abasaphathekile	a<r>ba<i2>sa<asp>phath<vr>ek<xn>ile<vpl>
abasaqungayo	a<r>ba<i2>sa<asp>qung<vr>a<va>yo<rsf>
abasebenza	a<r>ba<i2>sebenz<p1_vr>a<va>
abasenakuphela	a<r>ba<i2>se<asp>na<p>ku<n15>phel<vr>a<va>
abasha	a<r>ba<n2>sha<ar>
abashana	a<r>ba<n2>sh<ar>ana<dim>
abashayeli	a<iv>ba<n2>shayel<vr>i<hum>
abashova	a<r>ba<i2>shov<vr>a<va>
abasikhulumayo	a<r>ba<i2>si<o7>khulum<vr>a<va>yo<rsf>
abasize	a<r>ba<i2>siz<vr>e<vps>
abasonta	a<r>b<i2>a<asp>sont<vr>a<va>, a<r>ba<i2>sont<vr>a<va>
abathe	a<r>ba<i2>th<vr>e<vps>
abathengisele	a<r>ba<s2>theng<vr>is<xc>el<xa>e<vs>, a<s1>ba<o2>theng<vr>is<xc>el<xa>e<vs>, a<s6>ba<o2>theng<vr>is<xc>el<xa>e<vs>
abathi	a<r>ba<i2>thi<vr>
abathunjiwe	a<r>ba<i2>thunj<vr>iw<xp>e<vps>
abathunywe	a<r>ba<s2>thuny<vr>w<xp>e<vs>
abathwele	a<r>ba<i2>thwel<vr>e<vps>
abavakashelayo	a<r>ba<i2>vakash<vr>el<xa>a<va>yo<rsf>
abavame	a<r>ba<i2>vam<vr>e<vps>
abavela	a<i6>ba<o2>vel<vr>a<va>, a<r>b<i2>a<asp>vel<vr>a<va>
abawa	a<r>ba<i2>w<vr>a<va>
abaya	a<r>ba<i2>y<vr>a<va>
abayazi	a<r>ba<i2>y<o9>azi<vr>
abayidlayo	a<r>ba<i2>yi<o4>dl<vr>a<va>yo<rsf>
abayikhulumayo	a<r>ba<i2>yi<o4>khulum<vr>a<va>yo<rsf>
abayodlala	a<r>ba<i2>yo<fut>dlal<vr>a<va>
abayosiza	a<r>ba<i2>yo<fut>siz<vr>a<va>
